"rt","responses","time_elapsed","subject","demoID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","reward","bandOne","bandTwo","trialNum","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","coin","bandOneVal","bandTwoVal","pReward","shapeChosen","rlNum","badFlag"
"821330","{""Q0"":""msl000096""}","821358","SARL_v6nat83vj0","msl000096","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65687","","887051","SARL_v6nat83vj0","msl000096","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","890005","SARL_v6nat83vj0","msl000096","fullscreen","fullscreen","fullscreen","","","","","","","","","","","","","","","","","","","","","","","","",""
"69963","","959973","SARL_v6nat83vj0","msl000096","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","960781","SARL_v6nat83vj0","msl000096","freqPrac","","","img/orange_2bandit_a2.png","null","img/orange_2bandit_a2.png","70","prac","0","1","","","","","","","","","","","","","","","","","",""
"null","","961787","SARL_v6nat83vj0","msl000096","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","961943","SARL_v6nat83vj0","msl000096","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"583","","962532","SARL_v6nat83vj0","msl000096","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","1","","","","","","","","","","","","","","","","","",""
"583","","962754","SARL_v6nat83vj0","msl000096","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","962910","SARL_v6nat83vj0","msl000096","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"337","","963252","SARL_v6nat83vj0","msl000096","freqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","1","1","","","","","","","","","","","","","","","","","",""
"337","","963721","SARL_v6nat83vj0","msl000096","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"141","","963878","SARL_v6nat83vj0","msl000096","fixation","","","img/fixation.png","70","","","prac","","","","","","","","","","","","","","","","","","","",""
"472","","964356","SARL_v6nat83vj0","msl000096","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","1","","","","","","","","","","","","","","","","","",""
"472","","964689","SARL_v6nat83vj0","msl000096","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","964844","SARL_v6nat83vj0","msl000096","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"421","","965269","SARL_v6nat83vj0","msl000096","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","1","","","","","","","","","","","","","","","","","",""
"421","","965654","SARL_v6nat83vj0","msl000096","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","965810","SARL_v6nat83vj0","msl000096","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"307","","966122","SARL_v6nat83vj0","msl000096","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","1","","","","","","","","","","","","","","","","","",""
"307","","966620","SARL_v6nat83vj0","msl000096","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","966775","SARL_v6nat83vj0","msl000096","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"471","","967252","SARL_v6nat83vj0","msl000096","freqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","1","1","","","","","","","","","","","","","","","","","",""
