"rt","responses","time_elapsed","subject","demoID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","reward","bandOne","bandTwo","trialNum","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","coin","bandOneVal","bandTwoVal","pReward","shapeChosen","rlNum","badFlag"
"1294055","{""Q0"":""msl000059""}","1294079","SARL_v6nw0j2uax","msl000059","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"767","","1294855","SARL_v6nw0j2uax","msl000059","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1296822","SARL_v6nw0j2uax","msl000059","fullscreen","fullscreen","fullscreen","","","","","","","","","","","","","","","","","","","","","","","","",""
"135606","","1432434","SARL_v6nw0j2uax","msl000059","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","1433242","SARL_v6nw0j2uax","msl000059","freqPrac","","","img/orange_2bandit_b2.png","null","img/orange_2bandit_b2.png","70","prac","0","1","","","","","","","","","","","","","","","","","",""
"null","","1434248","SARL_v6nw0j2uax","msl000059","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1434405","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"483","","1434893","SARL_v6nw0j2uax","msl000059","infreqPrac","","","img/green_2bandit_b2.png","68","img/green_2bandit_b2.png","68","prac","1","1","","","","","","","","","","","","","","","","","",""
"483","","1435217","SARL_v6nw0j2uax","msl000059","infreqPrac_resp","","","img/green_2bandit_b.png","68","img/green_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1435373","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"383","","1435761","SARL_v6nw0j2uax","msl000059","freqPrac","","","img/orange_2bandit_b2.png","70","img/orange_2bandit_b2.png","70","prac","1","1","","","","","","","","","","","","","","","","","",""
"383","","1436185","SARL_v6nw0j2uax","msl000059","freqPrac_resp","","","img/orange_2bandit_b.png","70","img/orange_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1436340","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"255","","1436600","SARL_v6nw0j2uax","msl000059","infreqPrac","","","img/green_2bandit_b2.png","70","img/green_2bandit_b2.png","68","prac","0","2","","","","","","","","","","","","","","","","","",""
"255","","1437151","SARL_v6nw0j2uax","msl000059","infreqPrac_resp","","","img/green_2bandit_b.png","70","img/green_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1438156","SARL_v6nw0j2uax","msl000059","feedback","","","img/wrongKey.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1438312","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"432","","1438748","SARL_v6nw0j2uax","msl000059","infreqPrac","","","img/green_2bandit_b2.png","68","img/green_2bandit_b2.png","68","prac","1","2","","","","","","","","","","","","","","","","","",""
"432","","1439122","SARL_v6nw0j2uax","msl000059","infreqPrac_resp","","","img/green_2bandit_b.png","68","img/green_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1439278","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"338","","1439621","SARL_v6nw0j2uax","msl000059","infreqPrac","","","img/green_2bandit_b2.png","68","img/green_2bandit_b2.png","68","prac","1","2","","","","","","","","","","","","","","","","","",""
"338","","1440089","SARL_v6nw0j2uax","msl000059","infreqPrac_resp","","","img/green_2bandit_b.png","68","img/green_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1440246","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"410","","1440661","SARL_v6nw0j2uax","msl000059","freqPrac","","","img/orange_2bandit_b2.png","70","img/orange_2bandit_b2.png","70","prac","1","2","","","","","","","","","","","","","","","","","",""
"410","","1441057","SARL_v6nw0j2uax","msl000059","freqPrac_resp","","","img/orange_2bandit_b.png","70","img/orange_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1441213","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1442018","SARL_v6nw0j2uax","msl000059","infreqPrac","","","img/green_2bandit_b2.png","null","img/green_2bandit_b2.png","68","prac","0","3","","","","","","","","","","","","","","","","","",""
"null","","1443024","SARL_v6nw0j2uax","msl000059","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1443180","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"421","","1443605","SARL_v6nw0j2uax","msl000059","freqPrac","","","img/orange_2bandit_b2.png","70","img/orange_2bandit_b2.png","70","prac","1","3","","","","","","","","","","","","","","","","","",""
"421","","1443990","SARL_v6nw0j2uax","msl000059","freqPrac_resp","","","img/orange_2bandit_b.png","70","img/orange_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1444146","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"295","","1444445","SARL_v6nw0j2uax","msl000059","freqPrac","","","img/orange_2bandit_b2.png","70","img/orange_2bandit_b2.png","70","prac","1","3","","","","","","","","","","","","","","","","","",""
"295","","1444956","SARL_v6nw0j2uax","msl000059","freqPrac_resp","","","img/orange_2bandit_b.png","70","img/orange_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1445111","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"94322","","1539438","SARL_v6nw0j2uax","msl000059","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"1199","","1540641","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","74","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1541398","SARL_v6nw0j2uax","msl000059","feedback","","","img/boo_L_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1541553","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"332","","1541891","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","75","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1542647","SARL_v6nw0j2uax","msl000059","feedback","","","img/yay_R_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1542802","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"443","","1543249","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","75","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1544005","SARL_v6nw0j2uax","msl000059","feedback","","","img/yay_R_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1544159","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"471","","1544636","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","75","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1545392","SARL_v6nw0j2uax","msl000059","feedback","","","img/yay_R_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1545548","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"399","","1545952","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","75","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1546708","SARL_v6nw0j2uax","msl000059","feedback","","","img/yay_R_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1546863","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"471","","1547338","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","75","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1548095","SARL_v6nw0j2uax","msl000059","feedback","","","img/yay_R_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1548250","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"448","","1548705","SARL_v6nw0j2uax","msl000059","rlPractice","","","img/black_2bandit_b2.png","75","img/black_2bandit_b2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","1549460","SARL_v6nw0j2uax","msl000059","feedback","","","img/yay_R_b.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1549616","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"18426","","1568047","SARL_v6nw0j2uax","msl000059","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"680","","1568731","SARL_v6nw0j2uax","msl000059","mixAttFreqPrac","","","img/orange_2bandit_b2.png","70","img/orange_2bandit_b2.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"680","","1568855","SARL_v6nw0j2uax","msl000059","freqPrac_resp","","","img/orange_2bandit_b.png","70","img/orange_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1569012","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"417","","1569434","SARL_v6nw0j2uax","msl000059","mixAttInfreqPrac","","","img/green_2bandit_b2.png","68","img/green_2bandit_b2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"417","","1569822","SARL_v6nw0j2uax","msl000059","infreqPrac_resp","","","img/green_2bandit_b.png","68","img/orange_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1569978","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"241","","1570224","SARL_v6nw0j2uax","msl000059","mixAttInfreqPrac","","","img/green_2bandit_b2.png","68","img/green_2bandit_b2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"241","","1570789","SARL_v6nw0j2uax","msl000059","infreqPrac_resp","","","img/green_2bandit_b.png","68","img/orange_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","1570945","SARL_v6nw0j2uax","msl000059","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"314","","1571263","SARL_v6nw0j2uax","msl000059","mixAttInfreqPrac","","","img/green_2bandit_b2.png","68","img/green_2bandit_b2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
