"rt","responses","time_elapsed","subject","demoID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","reward","bandOne","bandTwo","trialNum","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","coin","bandOneVal","bandTwoVal","pReward","shapeChosen","rlNum","badFlag"
"189187","{""Q0"":""msl000173""}","189212","SARL_v646shwf11","msl000173","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2252","","191471","SARL_v646shwf11","msl000173","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","193709","SARL_v646shwf11","msl000173","fullscreen","fullscreen","fullscreen","","","","","","","","","","","","","","","","","","","","","","","","",""
"113680","","307394","SARL_v646shwf11","msl000173","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","308199","SARL_v646shwf11","msl000173","freqPrac","","","img/orange_2bandit_a2.png","null","img/orange_2bandit_a2.png","70","prac","0","1","","","","","","","","","","","","","","","","","",""
"null","","309204","SARL_v646shwf11","msl000173","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","309360","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"355","","309719","SARL_v646shwf11","msl000173","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","1","","","","","","","","","","","","","","","","","",""
"355","","310170","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"47","","310326","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","68","","","prac","","","","","","","","","","","","","","","","","","","",""
"412","","310743","SARL_v646shwf11","msl000173","freqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","1","1","","","","","","","","","","","","","","","","","",""
"412","","311135","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","311291","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"299","","311595","SARL_v646shwf11","msl000173","infreqPrac","","","img/green_2bandit_a2.png","70","img/green_2bandit_a2.png","68","prac","0","2","","","","","","","","","","","","","","","","","",""
"299","","312102","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","70","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","313107","SARL_v646shwf11","msl000173","feedback","","","img/wrongKey.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","313263","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"670","","313937","SARL_v646shwf11","msl000173","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","2","","","","","","","","","","","","","","","","","",""
"670","","314073","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","314229","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"285","","314519","SARL_v646shwf11","msl000173","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","2","","","","","","","","","","","","","","","","","",""
"285","","315039","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","315194","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"383","","315582","SARL_v646shwf11","msl000173","freqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","1","2","","","","","","","","","","","","","","","","","",""
"383","","316004","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","316160","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"381","","316545","SARL_v646shwf11","msl000173","infreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","1","2","","","","","","","","","","","","","","","","","",""
"381","","316969","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/green_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","317125","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"304","","317435","SARL_v646shwf11","msl000173","freqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","1","2","","","","","","","","","","","","","","","","","",""
"304","","317936","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","318091","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"210","","318306","SARL_v646shwf11","msl000173","freqPrac","","","img/orange_2bandit_a2.png","68","img/orange_2bandit_a2.png","70","prac","0","3","","","","","","","","","","","","","","","","","",""
"210","","318902","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","68","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","319906","SARL_v646shwf11","msl000173","feedback","","","img/wrongKey.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","320062","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"77380","","397445","SARL_v646shwf11","msl000173","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"958","","398409","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","74","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","399164","SARL_v646shwf11","msl000173","feedback","","","img/boo_L_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","399319","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"741","","400065","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","400820","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","400976","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"558","","401539","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","402295","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","402452","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"507","","402964","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","403720","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","403876","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"403","","404284","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","405041","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","405196","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"371","","405572","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","406328","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","406484","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"358","","406847","SARL_v646shwf11","msl000173","rlPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","75","","","","","","","","","","","","","","","","",""
"null","","407602","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","407759","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"29390","","437152","SARL_v646shwf11","msl000173","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"661","","437818","SARL_v646shwf11","msl000173","mixAttFreqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"661","","437962","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","438117","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"350","","438472","SARL_v646shwf11","msl000173","mixAttInfreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"350","","438929","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"128","","439084","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","68","","","prac","","","","","","","","","","","","","","","","","","","",""
"723","","439811","SARL_v646shwf11","msl000173","mixAttInfreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"723","","439893","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","440049","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"343","","440397","SARL_v646shwf11","msl000173","mixAttInfreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"343","","440859","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","441014","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"280","","441300","SARL_v646shwf11","msl000173","mixAttFreqPrac","","","img/orange_2bandit_a2.png","68","img/orange_2bandit_a2.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"280","","441825","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","68","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","441979","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"1021","","443005","SARL_v646shwf11","msl000173","mixRLPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","","","","","","","","","","","","","","","","","",""
"null","","443761","SARL_v646shwf11","msl000173","feedback","","","img/yay_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","","444567","SARL_v646shwf11","msl000173","mixAttFreqPrac","","","img/orange_2bandit_a2.png","null","img/orange_2bandit_a2.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"109","","444723","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","70","","","prac","","","","","","","","","","","","","","","","","","","",""
"476","","445204","SARL_v646shwf11","msl000173","mixAttInfreqPrac","","","img/green_2bandit_a2.png","68","img/green_2bandit_a2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"476","","445534","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","68","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","445690","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"376","","446071","SARL_v646shwf11","msl000173","mixAttFreqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"376","","446500","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","446656","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"355","","447014","SARL_v646shwf11","msl000173","mixAttFreqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"355","","447466","SARL_v646shwf11","msl000173","freqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","","447621","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"291","","447917","SARL_v646shwf11","msl000173","mixAttInfreqPrac","","","img/green_2bandit_a2.png","70","img/green_2bandit_a2.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"291","","448431","SARL_v646shwf11","msl000173","infreqPrac_resp","","","img/green_2bandit_a.png","70","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","","448587","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"515","","449107","SARL_v646shwf11","msl000173","mixRLPractice","","","img/black_2bandit_a2.png","75","img/black_2bandit_a2.png","","prac","","","","","","","","","","","","","","","","","","","",""
"null","","449862","SARL_v646shwf11","msl000173","feedback","","","img/boo_R_a.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"43185","","493053","SARL_v646shwf11","msl000173","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"720","","493778","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","68","","70","test","0","","","square","circle","1","1","1","1","0","","","","","","","","","",""
"null","","493864","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","68","img/orange_2bandit_a.png","70","test","","","","","","","","","1","","","","","","","","","","",""
"null","","494021","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"396","","494422","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","2","2","2","1","0.5","","","","","","","","","",""
"null","","494830","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","1","","","","","","","","","","",""
"null","","494986","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"312","","495303","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","3","3","3","1","0.6666666666666666","","","","","","","","","",""
"null","","495798","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","1","","","","","","","","","","",""
"null","","495954","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"287","","496246","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","4","4","4","1","0.75","","","","","","","","","",""
"null","","496766","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","1","","","","","","","","","","",""
"null","","496921","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"258","","497184","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","5","5","5","1","0.8","","","","","","","","","",""
"null","","497732","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","1","","","","","","","","","","",""
"null","","497888","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"286","","498178","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","6","6","6","1","0.8333333333333334","","","","","","","","","",""
"null","","498698","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","1","","","","","","","","","","",""
"null","","498854","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
