"rt","time_elapsed","expId","subject","prolificID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","trialNum","rewardOne","rewardTwo","reward","bandOne","bandTwo","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","bandOneVal","bandTwoVal","shapeChosen","rlNum","badFlag"
"27400.900000000373","27415","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","32836","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fullscreen","fullscreen","fullscreen","","","","","","","","","","","","","","","","","","","","","","","","",""
"71132.70000000019","103968","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","104797","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac","","","img/blue_2bandit_b2.png","null","img/blue_2bandit_b2.png","70","prac","0","1","","","","","","","","","","","","","","","","","",""
"null","105812","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","105976","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","106811","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac","","","img/orange_2bandit_b2.png","null","img/orange_2bandit_b2.png","68","prac","0","2","","","","","","","","","","","","","","","","","",""
"null","107835","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","107999","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","108821","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac","","","img/blue_2bandit_b2.png","null","img/blue_2bandit_b2.png","70","prac","0","3","","","","","","","","","","","","","","","","","",""
"null","109840","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","109999","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"371","110376","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","1","3","","","","","","","","","","","","","","","","","",""
"371","110814","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/orange_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","110982","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"520.3999999994412","111507","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","1","3","","","","","","","","","","","","","","","","","",""
"520.3999999994412","111795","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/orange_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","111965","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"458.70000000018626","112429","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","1","3","","","","","","","","","","","","","","","","","",""
"458.70000000018626","112786","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/orange_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","112949","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"346.29999999981374","113300","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac","","","img/blue_2bandit_b2.png","70","img/blue_2bandit_b2.png","70","prac","1","3","","","","","","","","","","","","","","","","","",""
"346.29999999981374","113763","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac_resp","","","img/blue_2bandit_b.png","70","img/blue_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","113932","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"394.40000000037253","114332","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","1","3","","","","","","","","","","","","","","","","","",""
"394.40000000037253","114748","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/orange_2bandit_b.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","114915","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"434.5","115354","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac","","","img/blue_2bandit_b2.png","68","img/blue_2bandit_b2.png","70","prac","0","4","","","","","","","","","","","","","","","","","",""
"434.5","115733","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac_resp","","","img/blue_2bandit_b.png","68","img/blue_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","116753","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","img/wrongKey.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","116915","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"540.2999999998137","117459","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac","","","img/blue_2bandit_b2.png","70","img/blue_2bandit_b2.png","70","prac","1","4","","","","","","","","","","","","","","","","","",""
"540.2999999998137","117737","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac_resp","","","img/blue_2bandit_b.png","70","img/blue_2bandit_b.png","70","prac","","","","","","","","","","","","","","","","","","","",""
"null","117914","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"12294.299999999814","130213","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","131738","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","rlPractice","","","img/black_2bandit_b2.png","null","img/black_2bandit_b2.png","","prac","","","0","","","","","","","","","","","","","","","","",""
"null","132516","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","<div font size = 80> TOO SLOW  </div>","null","","na","prac","","","1","10","-14","10","","","","","","","","","","","","","",""
"null","132681","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","134190","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","rlPractice","","","img/black_2bandit_b2.png","null","img/black_2bandit_b2.png","","prac","","","1","","","","","","","","","","","","","","","","",""
"null","134956","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","<div font size = 80> TOO SLOW  </div>","null","","na","prac","","","2","5","-5","5","","","","","","","","","","","","","",""
"null","135129","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","136638","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","rlPractice","","","img/black_2bandit_b2.png","null","img/black_2bandit_b2.png","","prac","","","2","","","","","","","","","","","","","","","","",""
"null","137395","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","<div font size = 80> TOO SLOW  </div>","null","","na","prac","","","3","30","2","30","","","","","","","","","","","","","",""
"null","137563","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","139080","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","rlPractice","","","img/black_2bandit_b2.png","null","img/black_2bandit_b2.png","","prac","","","3","","","","","","","","","","","","","","","","",""
"null","139845","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","<div font size = 80> TOO SLOW  </div>","null","","na","prac","","","4","-2","20","-2","","","","","","","","","","","","","",""
"null","140004","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"25916.5","165925","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","","","","","","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","166735","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixAttFreqPrac","","","img/blue_2bandit_b2.png","null","img/blue_2bandit_b2.png","70","prac","","","1","","","","","","","","","","","","","","","","",""
"null","166905","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"787.1999999992549","167698","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixAttInfreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","","","2","","","","","","","","","","","","","","","","",""
"787.1999999992549","167718","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/blue_2bandit_b.png","68","prac","","","2","","","","","","","","","","","","","","","","",""
"null","167880","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"561","168446","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixAttInfreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","","","3","","","","","","","","","","","","","","","","",""
"561","168692","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/blue_2bandit_b.png","68","prac","","","3","","","","","","","","","","","","","","","","",""
"null","168863","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"407.6000000005588","169275","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixAttInfreqPrac","","","img/orange_2bandit_b2.png","68","img/orange_2bandit_b2.png","68","prac","","","4","","","","","","","","","","","","","","","","",""
"407.6000000005588","169680","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","infreqPrac_resp","","","img/orange_2bandit_b.png","68","img/blue_2bandit_b.png","68","prac","","","4","","","","","","","","","","","","","","","","",""
"null","169846","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"385.5","170237","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixAttFreqPrac","","","img/blue_2bandit_b2.png","70","img/blue_2bandit_b2.png","70","prac","","","5","","","","","","","","","","","","","","","","",""
"385.5","170660","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","freqPrac_resp","","","img/blue_2bandit_b.png","70","img/blue_2bandit_b.png","70","prac","","","5","","","","","","","","","","","","","","","","",""
"null","170829","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"1184","172019","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixRLPractice","","","img/black_2bandit_b2.png","74","img/black_2bandit_b2.png","","prac","","","5","","","","","","","","","","","","","","","","",""
"null","172789","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","feedback","","","<div class=""verylowPoints""> -14 </div>","null","","na","prac","","","6","-14","10","-14","","","","","","","","","","","","","",""
"null","172962","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"619.8999999994412","173587","SARL_v6","SARL_v6zo8lrh42","631f991a0a5b1611251a3ebe","mixAttFreqPrac","","","img/blue_2bandit_b2.png","68","img/blue_2bandit_b2.png","70","prac","","","7","","","","","","","","","","","","","","","","",""
