"rt","time_elapsed","expId","subject","prolificID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","trialNum","rewardOne","rewardTwo","reward","bandOne","bandTwo","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","bandOneVal","bandTwoVal","shapeChosen","rlNum","badFlag"
"18715","18723","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","21878","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fullscreen","fullscreen","fullscreen","","","","","","","","","","","","","","","","","","","","","","","","",""
"88813","110700","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","111509","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","freqPrac","","","img/blue_2bandit_a2.png","null","img/blue_2bandit_a2.png","70","prac","0","1","","","","","","","","","","","","","","","","","",""
"null","112525","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","112678","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","113494","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac","","","img/orange_2bandit_a2.png","null","img/orange_2bandit_a2.png","68","prac","0","2","","","","","","","","","","","","","","","","","",""
"null","114504","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","114664","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"null","115478","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","freqPrac","","","img/blue_2bandit_a2.png","null","img/blue_2bandit_a2.png","70","prac","0","3","","","","","","","","","","","","","","","","","",""
"null","116486","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","feedback","","","img/tooSlow.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","116643","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"413","117058","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac","","","img/orange_2bandit_a2.png","70","img/orange_2bandit_a2.png","68","prac","0","4","","","","","","","","","","","","","","","","","",""
"413","117464","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","118473","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","feedback","","","img/wrongKey.png","null","","na","prac","","","","","","","","","","","","","","","","","","","",""
"null","118627","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"509","119138","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac","","","img/orange_2bandit_a2.png","68","img/orange_2bandit_a2.png","68","prac","1","4","","","","","","","","","","","","","","","","","",""
"509","119434","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac_resp","","","img/orange_2bandit_a.png","68","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","119601","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
"644","120247","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac","","","img/orange_2bandit_a2.png","68","img/orange_2bandit_a2.png","68","prac","1","4","","","","","","","","","","","","","","","","","",""
"644","120410","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","infreqPrac_resp","","","img/orange_2bandit_a.png","68","img/orange_2bandit_a.png","68","prac","","","","","","","","","","","","","","","","","","","",""
"null","120566","SARL_v6","SARL_v6dnjr3x75","63f77b9ca8439f6e1620c1cd","fixation","","","img/fixation.png","null","","","prac","","","","","","","","","","","","","","","","","","","",""
