"rt","time_elapsed","expId","subject","prolificID","trialType","stimulus","key_press","corrresp","phase","corr","trialNum","attentionRunNum","blockNum","points","rlNum"
"59698.800000190735","59703","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","","","","","","","","","","",""
"","63267","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fullscreen","","","","","","","","","",""
"481229","544499","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","","","","","","","","","","",""
"null","545313","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac","img/green_2bandit_b2.png","null","70","prac","0","","","","",""
"null","546320","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","feedback","img/tooSlow.png","null","na","prac","","","","","",""
"null","546477","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"null","547281","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac","img/orange_2bandit_b2.png","null","68","prac","0","","","","",""
"null","548296","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","feedback","img/tooSlow.png","null","na","prac","","","","","",""
"null","548466","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"132.20000004768372","548603","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac","img/green_2bandit_b2.png","70","70","prac","1","","","","",""
"132.20000004768372","549290","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac_resp","img/green_2bandit_b.png","70","70","prac","","","","","",""
"null","549446","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"471","549921","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac","img/orange_2bandit_b2.png","70","68","prac","0","","","","",""
"471","550256","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac_resp","img/orange_2bandit_b.png","70","68","prac","","","","","",""
"null","551273","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","feedback","img/wrongKey.png","null","na","prac","","","","","",""
"null","551431","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"535.8999998569489","551973","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac","img/orange_2bandit_b2.png","68","68","prac","1","","","","",""
"535.8999998569489","552256","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac_resp","img/orange_2bandit_b.png","68","68","prac","","","","","",""
"null","552426","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"428.2999999523163","552861","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac","img/orange_2bandit_b2.png","68","68","prac","1","","","","",""
"428.2999999523163","553238","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac_resp","img/orange_2bandit_b.png","68","68","prac","","","","","",""
"null","553398","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"392.7000000476837","553796","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac","img/green_2bandit_b2.png","70","70","prac","1","","","","",""
"392.7000000476837","554217","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac_resp","img/green_2bandit_b.png","70","70","prac","","","","","",""
"null","554371","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"364.2000000476837","554741","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac","img/orange_2bandit_b2.png","68","68","prac","1","","","","",""
"364.2000000476837","555180","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","infreqPrac_resp","img/orange_2bandit_b.png","68","68","prac","","","","","",""
"null","555340","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
"290.5","555633","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac","img/green_2bandit_b2.png","70","70","prac","1","","","","",""
"290.5","556158","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","freqPrac_resp","img/green_2bandit_b.png","70","70","prac","","","","","",""
"null","556314","pSARL_v2","pSARL_v2z8u69r04","60ace56a83e45642b22d9954","fixation","img/fixation.png","null","","prac","","","","","",""
