"rt","time_elapsed","expId","subject","prolificID","trialType","stimulus","key_press","corrresp","phase","corr","trialNum","attentionRunNum","blockNum","points","rlNum"
"6794.699999988079","6800","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","","","","","","","","","","",""
"","10017","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fullscreen","","","","","","","","","",""
"59078","69107","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","","","","","","","","","","",""
"478.10000002384186","69595","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","freqPrac","img/orange_2bandit_b2.png","70","70","prac","1","","","","",""
"478.10000002384186","69926","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","freqPrac_resp","img/orange_2bandit_b.png","70","70","prac","","","","","",""
"null","70098","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
"408.69999998807907","70514","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac","img/green_2bandit_b2.png","68","68","prac","1","","","","",""
"408.69999998807907","70923","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac_resp","img/green_2bandit_b.png","68","68","prac","","","","","",""
"null","71083","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
"414.5","71504","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","freqPrac","img/orange_2bandit_b2.png","70","70","prac","1","","","","",""
"414.5","71905","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","freqPrac_resp","img/orange_2bandit_b.png","70","70","prac","","","","","",""
"null","72066","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
"424.30000001192093","72497","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac","img/green_2bandit_b2.png","68","68","prac","1","","","","",""
"424.30000001192093","72890","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac_resp","img/green_2bandit_b.png","68","68","prac","","","","","",""
"null","73050","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
"336.0999999642372","73393","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac","img/green_2bandit_b2.png","68","68","prac","1","","","","",""
"336.0999999642372","73867","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac_resp","img/green_2bandit_b.png","68","68","prac","","","","","",""
"null","74034","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
"335.69999998807907","74376","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac","img/green_2bandit_b2.png","68","68","prac","1","","","","",""
"335.69999998807907","74855","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","infreqPrac_resp","img/green_2bandit_b.png","68","68","prac","","","","","",""
"null","75018","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
"319.69999998807907","75345","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","freqPrac","img/orange_2bandit_b2.png","70","70","prac","1","","","","",""
"319.69999998807907","75838","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","freqPrac_resp","img/orange_2bandit_b.png","70","70","prac","","","","","",""
"null","76004","pSARL_v2","pSARL_v2bl2xrasr","5edeb6bc0fb0721619b474d0","fixation","img/fixation.png","null","","prac","","","","","",""
