"rt","time_elapsed","expId","subject","prolificID","trialType","stimulus","key_press","corrresp","phase","corr","trialNum","attentionRunNum","blockNum","points","rlNum"
"22729.599999999627","22737","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","","","","","","","","","","",""
"","25668","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fullscreen","","","","","","","","","",""
"62970.90000000037","88651","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","","","","","","","","","","",""
"null","89466","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","freqPrac","img/green_2bandit_a2.png","null","70","prac","0","","","","",""
"null","90489","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","feedback","img/tooSlow.png","null","na","prac","","","","","",""
"null","90654","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fixation","img/fixation.png","null","","prac","","","","","",""
"449.5","91113","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac","img/orange_2bandit_a2.png","68","68","prac","1","","","","",""
"449.5","91483","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac_resp","img/orange_2bandit_a.png","68","68","prac","","","","","",""
"null","91643","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fixation","img/fixation.png","null","","prac","","","","","",""
"508.19999999925494","92161","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","freqPrac","img/green_2bandit_a2.png","70","70","prac","1","","","","",""
"508.19999999925494","92475","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","freqPrac_resp","img/green_2bandit_a.png","70","70","prac","","","","","",""
"null","92639","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fixation","img/fixation.png","null","","prac","","","","","",""
"439.30000000074506","93087","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac","img/orange_2bandit_a2.png","68","68","prac","1","","","","",""
"439.30000000074506","93460","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac_resp","img/orange_2bandit_a.png","68","68","prac","","","","","",""
"null","93620","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fixation","img/fixation.png","null","","prac","","","","","",""
"425.19999999925494","94054","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac","img/orange_2bandit_a2.png","68","68","prac","1","","","","",""
"425.19999999925494","94438","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac_resp","img/orange_2bandit_a.png","68","68","prac","","","","","",""
"null","94598","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fixation","img/fixation.png","null","","prac","","","","","",""
"301.7999999988824","94909","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac","img/orange_2bandit_a2.png","68","68","prac","1","","","","",""
"301.7999999988824","95418","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","infreqPrac_resp","img/orange_2bandit_a.png","68","68","prac","","","","","",""
"null","95578","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","fixation","img/fixation.png","null","","prac","","","","","",""
"321.2999999988824","95908","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","freqPrac","img/green_2bandit_a2.png","68","70","prac","0","","","","",""
"321.2999999988824","96402","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","freqPrac_resp","img/green_2bandit_a.png","68","70","prac","","","","","",""
"null","97420","pSARL_v2","pSARL_v2pwbfxhph","62e99c5ba3484be10c322440","feedback","img/wrongKey.png","null","na","prac","","","","","",""
