"rt","time_elapsed","expId","subject","prolificID","trialType","stimulus","key_press","corrresp","phase","corr","trialNum","attentionRunNum","blockNum","points","rlNum"
"35623.20000000298","35637","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","","","","","","","","","","",""
"","39881","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","fullscreen","","","","","","","","","",""
"192517.90000000224","232414","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","","","","","","","","","","",""
"null","233231","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","freqPrac","img/orange_2bandit_b2.png","null","70","prac","0","","","","",""
"null","234247","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","feedback","img/tooSlow.png","null","na","prac","","","","","",""
"null","234412","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","fixation","img/fixation.png","null","","prac","","","","","",""
"769.7999999970198","235192","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","infreqPrac","img/green_2bandit_b2.png","68","68","prac","1","","","","",""
"769.7999999970198","235230","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","infreqPrac_resp","img/green_2bandit_b.png","68","68","prac","","","","","",""
"null","235393","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","fixation","img/fixation.png","null","","prac","","","","","",""
"753.3999999985099","236158","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","freqPrac","img/orange_2bandit_b2.png","70","70","prac","1","","","","",""
"753.3999999985099","236219","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","freqPrac_resp","img/orange_2bandit_b.png","70","70","prac","","","","","",""
"null","236385","pSARL_v2","pSARL_v2nmutjead","640b129fbdcd3bb1c4f1f7fe","fixation","img/fixation.png","null","","prac","","","","","",""
