"rt","time_elapsed","expId","subject","prolificID","trialType","stimulus","key_press","corrresp","phase","corr","trialNum","attentionRunNum","blockNum","points","rlNum"
"2159.4000000953674","2171","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","","","","","","","","","","",""
"","4029","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fullscreen","","","","","","","","","",""
"41832.5","45871","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","","","","","","","","","","",""
"null","46696","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","freqPrac","img/orange_2bandit_a2.png","null","70","prac","0","","","","",""
"null","47715","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","feedback","img/tooSlow.png","null","na","prac","","","","","",""
"null","47883","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"501.2000000476837","48395","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac","img/green_2bandit_a2.png","68","68","prac","1","","","","",""
"501.2000000476837","48712","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac_resp","img/green_2bandit_a.png","68","68","prac","","","","","",""
"null","48885","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"null","49707","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","freqPrac","img/orange_2bandit_a2.png","null","70","prac","0","","","","",""
"null","50724","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","feedback","img/tooSlow.png","null","na","prac","","","","","",""
"null","50896","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"520.4000000953674","51426","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac","img/green_2bandit_a2.png","70","68","prac","0","","","","",""
"520.4000000953674","51722","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac_resp","img/green_2bandit_a.png","70","68","prac","","","","","",""
"null","52736","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","feedback","img/wrongKey.png","null","na","prac","","","","","",""
"null","52905","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"624","53537","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac","img/green_2bandit_a2.png","68","68","prac","1","","","","",""
"624","53726","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac_resp","img/green_2bandit_a.png","68","68","prac","","","","","",""
"null","53895","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"526.5","54429","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac","img/green_2bandit_a2.png","68","68","prac","1","","","","",""
"526.5","54716","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac_resp","img/green_2bandit_a.png","68","68","prac","","","","","",""
"null","54886","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"378.60000002384186","55272","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","freqPrac","img/orange_2bandit_a2.png","70","70","prac","1","","","","",""
"378.60000002384186","55707","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","freqPrac_resp","img/orange_2bandit_a.png","70","70","prac","","","","","",""
"null","55878","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"608.3999999761581","56497","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac","img/green_2bandit_a2.png","68","68","prac","1","","","","",""
"608.3999999761581","56702","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","infreqPrac_resp","img/green_2bandit_a.png","68","68","prac","","","","","",""
"null","56873","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","fixation","img/fixation.png","null","","prac","","","","","",""
"518.5","57400","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","freqPrac","img/orange_2bandit_a2.png","70","70","prac","1","","","","",""
"518.5","57692","pSARL_v2","pSARL_v2nn2s2kpj","6135752aa4ee5158b0708670","freqPrac_resp","img/orange_2bandit_a.png","70","70","prac","","","","","",""
